CITY/COMMUNITY**,Cases,Case Rate1,Deaths,Death Rate2
City of Agoura Hills,89,426,1,5
City of Alhambra,688,793,13,15
City of Arcadia,251,435,12,21
City of Artesia,178,1060,3,18
City of Avalon,5,129,0,0
City of Azusa,773,1545,9,18
City of Baldwin Park,1526,1988,39,51
City of Bell,894,2461,26,72
City of Bell Gardens,1067,2477,13,30
City of Bellflower,1351,1738,39,50
City of Beverly Hills,472,1367,8,23
City of Bradbury,7,655,0,0
City of Burbank,795,742,50,47
City of Calabasas,162,666,11,45
City of Carson,971,1035,36,38
City of Cerritos,348,695,7,14
City of Claremont,192,526,3,8
City of Commerce*,320,2449,2,15
City of Compton,2201,2203,29,29
City of Covina,736,1501,11,22
City of Cudahy,655,2690,11,45
City of Culver City,275,690,27,68
City of Diamond Bar,311,541,4,7
City of Downey,2516,2202,59,52
City of Duarte,276,1254,23,104
City of El Monte,2411,2056,74,63
City of El Segundo,86,512,0,0
City of Gardena,698,1138,34,55
City of Glendale,1897,919,122,59
City of Glendora,713,1351,23,44
City of Hawaiian Gardens,288,1962,1,7
City of Hawthorne,1076,1212,28,32
City of Hermosa Beach,132,671,2,10
City of Hidden Hills,5,265,0,0
City of Huntington Park,1664,2797,29,49
City of Industry,18,4119,2,458
City of Inglewood,1526,1344,70,62
City of Irwindale,39,2673,0,0
City of La Canada Flintridge,101,488,6,29
City of La Habra Heights,20,367,0,0
City of La Mirada,506,1020,21,42
City of La Puente,787,1934,6,15
City of La Verne,221,664,3,9
City of Lakewood,719,895,7,9
City of Lancaster*,1630,1009,23,14
City of Lawndale,356,1059,8,24
City of Lomita,121,584,7,34
City of Lynwood*,1940,2693,68,94
City of Malibu,71,548,2,15
City of Manhattan Beach,222,617,4,11
City of Maywood,801,2856,23,82
City of Monrovia,431,1111,31,80
City of Montebello,1312,2038,32,50
City of Monterey Park,492,790,12,19
City of Norwalk,1857,1725,40,37
City of Palmdale,1868,1175,26,16
City of Palos Verdes Estates,62,459,2,15
City of Paramount,1356,2420,15,27
City of Pico Rivera,1435,2232,48,75
City of Pomona,2535,1626,40,26
City of Rancho Palos Verdes,193,451,12,28
City of Redondo Beach,333,485,9,13
City of Rolling Hills,4,206,0,0
City of Rolling Hills Estates,30,370,2,25
City of Rosemead,435,786,11,20
City of San Dimas*,281,814,2,6
City of San Fernando,437,1776,12,49
City of San Gabriel,334,816,26,63
City of San Marino,41,309,1,8
City of Santa Clarita,1743,791,33,15
City of Santa Fe Springs,300,1634,2,11
City of Santa Monica,545,590,35,38
City of Sierra Madre,45,410,3,27
City of Signal Hill,148,1255,0,0
City of South El Monte,430,2059,12,57
City of South Gate,2633,2682,40,41
City of South Pasadena,199,764,23,88
City of Temple City,333,913,34,93
City of Torrance,831,557,52,35
City of Vernon,16,7656,0,0
City of Walnut,158,517,1,3
City of West Covina,1659,1533,21,19
City of West Hollywood,368,996,4,11
City of Westlake Village,14,167,0,0
City of Whittier,1217,1392,14,16
Los Angeles,61698,1525,1906,47
Los Angeles - Adams-Normandie,139,1695,3,37
Los Angeles - Alsace,219,1760,1,8
Los Angeles - Angeles National Forest,2,5000,0,0
Los Angeles - Angelino Heights,35,1399,1,40
Los Angeles - Arleta,725,2109,12,35
Los Angeles - Atwater Village,129,880,4,27
Los Angeles - Baldwin Hills,364,1169,23,74
Los Angeles - Bel Air,55,653,0,0
Los Angeles - Beverly Crest,66,527,2,16
Los Angeles - Beverlywood,95,721,0,0
Los Angeles - Boyle Heights*,2538,2921,39,45
Los Angeles - Brentwood,168,543,3,10
Los Angeles - Brookside,1,172,0,0
Los Angeles - Cadillac-Corning,69,969,1,14
Los Angeles - Canoga Park,1012,1550,46,70
Los Angeles - Carthay,154,1072,11,77
Los Angeles - Central,1336,3426,25,64
Los Angeles - Century City,79,618,0,0
Los Angeles - Century Palms/Cove,892,2642,8,24
Los Angeles - Chatsworth,384,1036,33,89
Los Angeles - Cheviot Hills,45,491,2,22
Los Angeles - Chinatown,60,748,1,12
Los Angeles - Cloverdale/Cochran,191,1312,5,34
Los Angeles - Country Club Park,199,1313,21,139
Los Angeles - Crenshaw District,175,1265,2,14
Los Angeles - Crestview,136,1196,17,150
Los Angeles - Del Rey,201,671,7,23
Los Angeles - Downtown*,459,1669,11,40
Los Angeles - Eagle Rock,412,1041,16,40
Los Angeles - East Hollywood,412,1407,41,140
Los Angeles - Echo Park,114,800,3,21
Los Angeles - El Sereno,648,1550,25,60
Los Angeles - Elysian Park,52,910,0,0
Los Angeles - Elysian Valley,153,1504,1,10
Los Angeles - Encino,310,686,13,29
Los Angeles - Exposition,49,1473,0,0
Los Angeles - Exposition Park,739,1645,16,36
Los Angeles - Faircrest Heights,21,583,1,28
Los Angeles - Figueroa Park Square,175,2007,0,0
Los Angeles - Florence-Firestone,1320,2782,19,40
Los Angeles - Glassell Park,377,1193,9,28
Los Angeles - Gramercy Place,141,1310,3,28
Los Angeles - Granada Hills,683,1174,56,96
Los Angeles - Green Meadows,519,2413,7,33
Los Angeles - Hancock Park,154,904,2,12
Los Angeles - Harbor City,299,1029,9,31
Los Angeles - Harbor Gateway,491,1126,8,18
Los Angeles - Harbor Pines,10,415,0,0
Los Angeles - Harvard Heights,336,1863,19,105
Los Angeles - Harvard Park,900,2372,11,29
Los Angeles - Highland Park,633,1308,13,27
Los Angeles - Historic Filipinotown,268,1932,8,58
Los Angeles - Hollywood,692,1014,6,9
Los Angeles - Hollywood Hills,184,625,6,20
Los Angeles - Hyde Park,448,1570,8,28
Los Angeles - Jefferson Park,160,1982,0,0
Los Angeles - Koreatown,647,1252,21,41
Los Angeles - Lafayette Square,49,1075,1,22
Los Angeles - Lake Balboa,482,1142,12,28
Los Angeles - Lakeview Terrace,347,2642,17,129
Los Angeles - Leimert Park,179,1175,3,20
Los Angeles - Lincoln Heights,680,2086,37,114
Los Angeles - Little Armenia,282,3514,43,536
Los Angeles - Little Bangladesh,297,1048,4,14
Los Angeles - Little Tokyo,43,1372,2,64
Los Angeles - Longwood,70,1626,0,0
Los Angeles - Los Feliz,119,551,2,9
Los Angeles - Manchester Square,80,937,1,12
Los Angeles - Mandeville Canyon,8,256,0,0
Los Angeles - Mar Vista,191,450,5,12
Los Angeles - Marina Peninsula,22,505,0,0
Los Angeles - Melrose,1168,1503,46,59
Los Angeles - Mid-city,198,1317,20,133
Los Angeles - Miracle Mile,100,556,5,28
Los Angeles - Mission Hills,402,1666,15,62
Los Angeles - Mt. Washington,269,1114,6,25
Los Angeles - North Hills,980,1592,34,55
Los Angeles - North Hollywood,1785,1179,41,27
Los Angeles - Northridge,776,1112,37,53
Los Angeles - Pacific Palisades,89,418,3,14
Los Angeles - Pacoima,1743,2264,25,32
Los Angeles - Palisades Highlands,15,390,0,0
Los Angeles - Palms,362,825,26,59
Los Angeles - Panorama City,1525,2027,66,88
Los Angeles - Park La Brea,59,434,1,7
Los Angeles - Pico-Union,1189,2842,73,174
Los Angeles - Playa Del Rey,16,501,0,0
Los Angeles - Playa Vista,76,694,0,0
Los Angeles - Porter Ranch,190,534,6,17
Los Angeles - Rancho Park,49,747,1,15
Los Angeles - Regent Square,20,719,0,0
Los Angeles - Reseda,1261,1646,55,72
Los Angeles - Reseda Ranch,45,971,0,0
Los Angeles - Reynier Village,26,615,0,0
Los Angeles - San Pedro*,1394,1786,22,28
Los Angeles - Shadow Hills,27,608,0,0
Los Angeles - Sherman Oaks,556,637,14,16
Los Angeles - Silverlake,401,910,14,32
Los Angeles - South Carthay,69,651,1,9
Los Angeles - South Park,1212,3193,18,47
Los Angeles - St Elmo Village,85,1854,7,153
Los Angeles - Studio City,157,700,9,40
Los Angeles - Sun Valley,769,1465,13,25
